row,col,value
8,55,-8.35387824989e-12
8,56,-6.82354749554e-12
8,57,-6.60998424790e-12
8,58,-8.87365249283e-12
8,59,-8.87365249283e-12
8,60,-5.91779471207e-12
8,61,-1.05059067291e-11
8,62,-8.19153146650e-12
8,63,-8.87365249283e-12
8,64,-8.87365249283e-12
8,65,0
9,1,-1.92207760909e-16
9,2,-7.07435446780e-13
9,3,0
9,4,-1.03134762278e-14
9,5,-5.27112530132e-14
9,6,1.19269228225e-14
9,7,4.40771914638e-14
9,8,-1.43106510331e-13
9,9,3545.607374465672
9,10,2.74551127101e-14
9,11,-1.31619663434e-14
9,12,3.59414711202e-14
9,13,-1.39485282074e-13
9,14,5.79720116525e-29
9,15,1.68153869250e-14
9,16,1.47456239770e-13
9,17,7.74509439768e-13
9,18,4.23808383943e-14
9,19,1.21447717914e-14
9,20,9.64693056560e-14
9,21,-1.35784149429e-15
9,22,1.52700346338e-14
9,23,2.64607591825e-13
9,24,2.80028639781e-13
9,25,-6.64715171250e-13
9,26,-1.72648616420e-13
9,27,2.84217094304e-14
9,28,9.23555100800e-14
9,29,3.96668417849e-13
9,30,2.42895435828e-14
9,31,-5.32147045158e-14
9,32,-2.05810497027e-13
9,33,-4.02191025677e-13
9,34,5.93748609058e-13
9,35,-5.93748609058e-13
9,36,-5.93748609058e-13
9,37,-5.93748609058e-13
9,38,-7.07435446780e-13
9,39,-7.94820379143e-13
9,40,-3.24167676801e-13
9,41,-4691.507858283721
9,42,-7.07435446780e-13
9,43,-6.75276671570e-13
9,44,-7.00476978960e-13
9,45,0
9,46,-5.93748609058e-13
9,47,-7.23172347348e-13
9,48,-9.36972479819e-13
9,49,-2.23287619327e-12
9,50,-5.93748609058e-13
9,51,-7.07435446780e-13
9,52,-8.02537949854e-13
9,53,-4.93702285114e-13
9,54,-5.93748609058e-13
9,55,-1.06473063828e-12
9,56,-1.15015927819e-12
9,57,3.94893487694e-13
9,58,-4.80061771337e-13
9,59,-4.80061771337e-13
9,60,-8.19220981426e-13
9,61,-1.81907874682e-12
9,62,-5.93748609058e-13
9,63,-7.07435446780e-13
9,64,-4.80061771337e-13
9,65,0
10,1,-3.76588808064e-30
10,2,-9.46427848203e-12
10,3,0
10,4,3.05823500840e-16
10,5,6.54992857131e-15
10,6,4.61192174189e-14
10,7,4.24058374860e-14
10,8,3.62756091722e-14
10,9,2.74551127101e-14
10,10,441.4308407580447
10,11,1.35425840589e-14
10,12,1.83822185042e-15
10,13,-3.51597975150e-12
10,14,-7.73793908859e-15
10,15,3.65323544764e-14
10,16,-1.28109630882e-14
10,17,-2.45753950598e-13
10,18,1.40476217258e-13
10,19,-5.30904209017e-15
10,20,-2.38957165021e-14
10,21,-4.21223533104e-14
10,22,-8.21258857518e-14
10,23,-4.98674217678e-14
10,24,-7.34774644550e-15
10,25,4.01290791026e-13
10,26,7.57762707292e-14
10,27,-1.94909027409e-14
10,28,-7.63871054864e-14
10,29,2.94368255927e-14
10,30,5.26405583725e-14
10,31,1.28326604377e-13
10,32,9.10822834773e-14
10,33,-6.41408966031e-12
10,34,9.47848933674e-12
10,35,-9.47848933674e-12
10,36,-9.49049889545e-12
10,37,-9.45505623711e-12
10,38,-9.57109958474e-12
10,39,-9.66147854689e-12
10,40,-9.52435563407e-12
10,41,-9.53350500136e-12
10,42,-615.1165811482115
10,43,-9.54637210678e-12
10,44,-9.49519220581e-12
10,45,0
10,46,-9.44669573876e-12
10,47,-9.54866147688e-12
10,48,-9.47743856396e-12
10,49,-8.96559471662e-12
10,50,-9.65490857152e-12
10,51,-9.45006047273e-12
10,52,-9.43961393907e-12
10,53,-9.33639279992e-12
10,54,-9.33917529995e-12
10,55,-9.35692205664e-12
10,56,-9.47280930221e-12
10,57,-9.98987870148e-12
10,58,-9.59818131513e-12
10,59,-9.44324072385e-12
10,60,-9.37853802797e-12
10,61,-9.56902024776e-12
10,62,-9.55106066951e-12
10,63,-9.63756852217e-12
10,64,-9.59831109795e-12
10,65,0
11,1,1.19216742867e-16
11,2,-4.33034713046e-13
11,3,0
11,4,1.90746788588e-15
11,5,1.04888837183e-15
11,6,-2.89715844641e-15
11,7,-6.38311369848e-15
11,8,4.80348245033e-14
11,9,-1.31619663434e-14
11,10,1.35425840589e-14
11,11,705.9536305332379
11,12,-1.75564012279e-14
11,13,-1.17668589575e-13
11,14,-8.50121235988e-14
11,15,3.10262416402e-14
11,16,-5.68434188608e-14
11,17,3.09112876741e-14
11,18,5.52700863031e-14
11,19,6.58098317168e-15
11,20,4.82346528280e-14
11,21,-7.30910358174e-14
11,22,-2.12654203773e-14
11,23,7.54603770515e-14
11,24,3.16271823519e-15
11,25,-1.30362540173e-13
11,26,6.30350257009e-14
11,27,-1.04888837183e-15
11,28,-8.88203495648e-14
11,29,1.55784012390e-13
11,30,-2.84217094304e-14
11,31,-5.76888604508e-15
11,32,-1.12367813641e-13
11,33,-2.63079332786e-13
11,34,4.33034713046e-13
11,35,-4.33034713046e-13
11,36,-3.76191294185e-13
11,37,-3.19347875324e-13
11,38,-4.89878131907e-13
11,39,-3.63040341506e-13
11,40,-4.42225077968e-13
11,41,-3.76191294185e-13
11,42,-4.33034713046e-13
11,43,-2199.16074497723
11,44,-3.15868641414e-13
11,45,0
11,46,-2.12694134910e-13
11,47,-3.91928194753e-13
11,48,-2.62504456463e-13
11,49,-5.08373594095e-13
11,50,-3.76191294185e-13
11,51,-3.19347875324e-13
11,52,-3.66899126861e-13
11,53,-1.12434970547e-13
11,54,-4.89878131907e-13
11,55,-4.97995471076e-13
11,56,-3.81735314135e-13
11,57,-2.00714325416e-13
11,58,-4.89878131907e-13
11,59,-3.19347875324e-13
